@id,contentSize,description,encodingFormat,name,url
fd8d03e6-d734-4877-bfca-fe7813315826,9 MiB,"Data includes following fields: SiteId, Site Name, Site Brand, Sites Address Line 1, Site Suburb, Site State, Site Post Code, Site Latitude, Site Longitude, Fuel Type ID Price, TransactionDateUtc1",CSV,Queensland Fuel Prices April 2020,https://www.data.qld.gov.au/dataset/cb7a63ac-d6e1-4e78-9f9b-a23969ca052c/resource/fd8d03e6-d734-4877-bfca-fe7813315826/download/queensland-fuel-prices-april-2020.csv
c002d280-3b25-4548-bf03-fa4ce1280d61,10.5 MiB,"Data includes following fields: SiteId, Site Name, Site Brand, Sites Address Line 1, Site Suburb, Site State, Site Post Code, Site Latitude, Site Longitude, Fuel Type ID Price, TransactionDateUtc1",CSV,Queensland Fuel Prices January 2021,https://www.data.qld.gov.au/dataset/cb7a63ac-d6e1-4e78-9f9b-a23969ca052c/resource/c002d280-3b25-4548-bf03-fa4ce1280d61/download/qld-fuel-prices-january-2021.csv
825d9551-e9c0-4aaf-8c61-92ede67c6226,9 MiB,"Data includes following fields: SiteId, Site Name, Site Brand, Sites Address Line 1, Site Suburb, Site State, Site Post Code, Site Latitude, Site Longitude, Fuel Type ID Price, TransactionDateUtc1",CSV,Queensland Fuel Prices May 2021,https://www.data.qld.gov.au/dataset/cb7a63ac-d6e1-4e78-9f9b-a23969ca052c/resource/825d9551-e9c0-4aaf-8c61-92ede67c6226/download/lastmonthsfpqprices_changesonly.csv
7e9edc5f-d8f7-426f-a443-3360b1726fcd,9 MiB,"Data includes following fields: SiteId, Site Name, Site Brand, Sites Address Line 1, Site Suburb, Site State, Site Post Code, Site Latitude, Site Longitude, Fuel Type ID Price, TransactionDateUtc1",CSV,Queensland Fuel Prices March 2020,https://www.data.qld.gov.au/dataset/cb7a63ac-d6e1-4e78-9f9b-a23969ca052c/resource/7e9edc5f-d8f7-426f-a443-3360b1726fcd/download/queensland-fuel-prices-march-2020.csv
f1037322-fcc1-4031-a342-42873d8e88c6,9.5 MiB,"Data includes following fields: SiteId, Site Name, Site Brand, Sites Address Line 1, Site Suburb, Site State, Site Post Code, Site Latitude, Site Longitude, Fuel Type ID Price, TransactionDateUtc1",CSV,Queensland Fuel Prices January 2020,https://www.data.qld.gov.au/dataset/cb7a63ac-d6e1-4e78-9f9b-a23969ca052c/resource/f1037322-fcc1-4031-a342-42873d8e88c6/download/queensland-fuel-prices-january-2020.csv
e9346821-6686-4480-8601-79c564eaa20a,11.5 MiB,"Queensland Service Station location and price information for October 2019.

Data includes following fields: SiteId, Site Name, Site Brand, Sites Address Line 1, Site Suburb, Site State, Site Post Code, Site Latitude, Site Longitude, Fuel Type ID Price, TransactionDateUtc",CSV,Queensland Fuel Prices October 2019,https://www.data.qld.gov.au/dataset/cb7a63ac-d6e1-4e78-9f9b-a23969ca052c/resource/e9346821-6686-4480-8601-79c564eaa20a/download/queensland-fuel-prices-october-2019.csv
ef2097c3-43fa-4cf4-9f57-2d99c8804932,9.5 MiB,"Data includes following fields: SiteId, Site Name, Site Brand, Sites Address Line 1, Site Suburb, Site State, Site Post Code, Site Latitude, Site Longitude, Fuel Type ID Price, TransactionDateUtc1",CSV,Queensland Fuel Prices October 2020,https://www.data.qld.gov.au/dataset/cb7a63ac-d6e1-4e78-9f9b-a23969ca052c/resource/ef2097c3-43fa-4cf4-9f57-2d99c8804932/download/qld-fuel-prices-october-2020.csv
b37baed5-1350-40a3-874e-34bd27008405,9.5 MiB,"Data includes following fields: SiteId, Site Name, Site Brand, Sites Address Line 1, Site Suburb, Site State, Site Post Code, Site Latitude, Site Longitude, Fuel Type ID Price, TransactionDateUtc1",CSV,Queensland Fuel Prices November 2020,https://www.data.qld.gov.au/dataset/cb7a63ac-d6e1-4e78-9f9b-a23969ca052c/resource/b37baed5-1350-40a3-874e-34bd27008405/download/qld-fuel-prices-november-2020.csv
2196d2ef-cfde-45c0-b0ba-0604b1920c6f,7.5 MiB,"Data includes following fields: SiteId, Site Name, Site Brand, Sites Address Line 1, Site Suburb, Site State, Site Post Code, Site Latitude, Site Longitude, Fuel Type ID Price, TransactionDateUtc1",CSV,Queensland Fuel Prices March 2021,https://www.data.qld.gov.au/dataset/cb7a63ac-d6e1-4e78-9f9b-a23969ca052c/resource/2196d2ef-cfde-45c0-b0ba-0604b1920c6f/download/qld-fuel-prices-march-2021.csv
1cd76f3d-49a8-4b1e-96d2-ceeb24643ed7,6 MiB,"Data includes following fields: SiteId, Site Name, Site Brand, Sites Address Line 1, Site Suburb, Site State, Site Post Code, Site Latitude, Site Longitude, Fuel Type ID Price, TransactionDateUtc1",CSV,Queensland Fuel Prices May 2020,https://www.data.qld.gov.au/dataset/cb7a63ac-d6e1-4e78-9f9b-a23969ca052c/resource/1cd76f3d-49a8-4b1e-96d2-ceeb24643ed7/download/queensland-fuel-prices-may-2020.csv
